Month,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 month,3 and under 6 months,6 and under 12 months,Total
Jan-1991,44470,47940,30700,19730,8020,9580,16980,177410
Feb-1991,43590,51050,38500,23950,7950,8740,16810,190570
Mar-1991,42460,57720,44380,22030,6680,7170,8750,189180
Apr-1991,47890,49450,30960,19440,5050,6130,9080,168000
May-1991,53400,47270,31870,13050,4160,5380,6270,161400
Jun-1991,51090,47890,35540,18930,6100,5720,6970,172230
Jul-1991,54820,53570,49390,28230,5100,7050,10150,208310
Aug-1991,56410,60990,49130,16390,3710,5200,7470,199310
Sep-1991,55550,55940,43670,19610,5430,7550,9600,197360
Oct-1991,57470,67280,44110,22830,6070,8270,9930,215970
Nov-1991,60870,69610,41030,21680,8430,12160,10070,223860
Dec-1991,58460,68820,59260,49370,10680,10810,9350,266750
Jan-1992,57260,51970,32260,21540,8120,9300,15650,196090
Feb-1992,63810,67540,44620,27650,8630,9520,16490,238250
Mar-1992,61330,67570,42060,25400,6970,6580,7890,217800
Apr-1992,62430,57490,41770,21880,6330,6630,7290,203830
May-1992,61780,51770,32240,13300,4340,6000,5800,175220
Jun-1992,63310,43740,32210,20300,6050,5360,5980,176940
Jul-1992,65140,52000,48490,28620,5880,7960,11160,219260
Aug-1992,61710,60350,43730,17600,3760,5800,6140,199080
Sep-1992,60060,55780,35250,19640,4180,7400,7700,190020
Oct-1992,60570,73490,43870,26700,7240,9390,8080,229320
Nov-1992,70960,82700,45300,25440,9210,12740,8700,255040
Dec-1992,71510,84160,68770,49730,10910,11020,6300,302400
Jan-1993,76320,73250,37710,23470,8580,9710,13720,242760
Feb-1993,72100,67980,41820,28490,8110,9180,17760,245460
Mar-1993,75470,81500,50260,27950,8580,7010,7180,257950
Apr-1993,72950,71400,41180,21980,5540,5580,7690,226320
May-1993,71120,72400,38930,15510,3940,6280,5230,213410
Jun-1993,72690,58670,34780,20820,5750,6080,5800,204580
Jul-1993,67460,61620,55880,33750,5500,8160,12250,244620
Aug-1993,80980,74340,48450,19440,3830,5800,7090,239930
Sep-1993,72360,67170,41240,22410,5500,7120,8220,224030
Oct-1993,78230,83200,51600,27380,7260,9910,9630,267220
Nov-1993,85020,91140,50290,26560,10770,13500,8640,285910
Dec-1993,80590,101260,79520,50740,12790,11820,7330,344040
Jan-1994,74310,67680,42980,27030,10240,11690,16600,250530
Feb-1994,87870,97490,49500,30150,9170,10710,19400,304280
Mar-1994,89960,104860,59170,29470,7970,8200,7770,307400
Apr-1994,80340,84160,44440,22540,6840,7830,8990,255130
May-1994,77130,71870,33320,14660,5080,6570,6310,214940
Jun-1994,81630,66650,38880,21050,7950,7710,7060,230940
Jul-1994,78360,74180,60580,35850,9690,10100,13760,282510
Aug-1994,89770,86800,49990,20130,4680,5930,8140,265430
Sep-1994,77010,80510,47010,23330,6240,9560,10310,253970
Oct-1994,83640,98810,55990,30320,9300,11740,11790,301590
Nov-1994,93900,100100,52810,27560,11610,14840,10180,311000
Dec-1994,86710,118160,89430,55760,12520,13170,8260,384010
Jan-1995,91310,89690,50990,31710,10910,12700,16440,303760
Feb-1995,90850,99500,53940,30480,9650,12430,22190,319050
Mar-1995,100690,103400,54260,28670,8110,9350,9070,313540
Apr-1995,88390,95480,55490,26640,8590,9920,9640,294160
May-1995,93720,77820,37130,15840,4600,7890,7820,244810
Jun-1995,90660,76410,45210,22270,9230,9200,8470,261440
Jul-1995,95160,89900,67480,37830,10130,12120,17120,329740
Aug-1995,103030,101690,57600,20940,5040,8840,7770,304900
Sep-1995,85690,83490,47760,22970,6640,10280,11740,268570
Oct-1995,92740,104350,56750,30480,10180,12900,13260,320660
Nov-1995,108560,108370,55310,29720,12390,15980,12610,342930
Dec-1995,103850,128120,93680,57600,13800,15600,9620,422260
Jan-1996,97510,87860,51350,29700,12180,15850,22760,317210
Feb-1996,114170,132950,63340,33610,9930,13970,24700,392690
Mar-1996,108380,122620,68910,32370,8720,11300,13250,365550
Apr-1996,105690,114760,56800,25130,9060,10280,11490,333200
May-1996,101920,81600,40150,16890,4910,8230,7830,261510
Jun-1996,99960,97710,55920,24530,10070,9940,8810,306930
Jul-1996,102610,99120,73790,36970,9320,15200,21220,358230
Aug-1996,110210,108860,62830,23100,5800,8800,9650,329240
Sep-1996,96940,99220,57140,24910,7890,12230,10830,309160
Oct-1996,105910,112920,62460,30710,10300,13920,14150,350360
Nov-1996,114090,117970,63720,34020,13790,18580,13400,375570
Dec-1996,116780,137990,103030,67070,14140,16610,9550,465180
Jan-1997,102300,89900,59640,33710,13720,17730,25890,342890
Feb-1997,122090,134540,63340,35410,9870,13950,28770,407960
Mar-1997,123840,123620,74450,32020,10180,13290,13500,390900
Apr-1997,118380,99560,52980,23250,8630,11080,12010,325900
May-1997,118260,89420,42400,16170,5680,8570,8590,289100
Jun-1997,103910,93250,55490,25920,9640,10800,9160,308180
Jul-1997,117060,108340,79920,40530,10780,16960,23760,397360
Aug-1997,109860,106610,63570,21940,6760,10400,11300,330430
Sep-1997,109570,101290,59650,25260,7720,13460,13990,330940
Oct-1997,113350,114750,64690,30880,11250,15640,15920,366480
Nov-1997,123120,114450,64870,32120,12830,17920,14130,379460
