"Table 13.2 Total Departures(a) by State of Residence/Stay(b), Jan-1991 to Aug-2025(c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT,Australia(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1991,173740,70040,71710,15830,40910,3520,2010,5670,386150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1991,143320,57360,57650,13260,31870,3590,2310,6560,317430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1991,174480,72130,67350,15470,37510,4090,2650,6820,382100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1991,151460,74460,61490,17050,41270,3400,3250,5120,359060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1991,150090,65640,68180,14380,35240,4010,4330,5140,349140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1991,161960,67420,81550,14200,38370,3330,5080,6270,379590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1991,156130,76320,79880,17520,36770,2570,3620,5740,380580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1991,172430,69890,89150,14180,33180,3480,4040,6080,395000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1991,176020,74390,86100,14930,38080,3080,4430,6940,405480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1991,169070,65010,79080,13240,34730,2620,2570,5850,374220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1991,176930,77410,80730,15870,40680,3330,2330,5640,405390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1991,201390,88770,85820,16750,48670,3420,5000,7530,459790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1992,181870,73510,79140,15700,41230,4650,2940,5550,406820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1992,168530,67650,74190,11680,34870,3710,2270,4700,369510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1992,186350,74530,78110,15550,39760,4170,2650,5430,408640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1992,189680,75860,76550,18060,41110,3390,3840,5570,416200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1992,170440,69910,78260,15300,36300,4750,3530,5600,386380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1992,159880,73930,81860,13330,38000,2980,5080,6630,383410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1992,182980,76780,83210,17760,42720,3660,4150,7210,420230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1992,169480,69880,95880,14840,38780,4510,4070,6020,405760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1992,181800,76390,93980,15170,44850,2640,3640,6240,426990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
