Month,Purpose,Count
Jan-1991,Convention/conference,1730
Feb-1991,Convention/conference,3670
Mar-1991,Convention/conference,1990
Apr-1991,Convention/conference,2140
May-1991,Convention/conference,2870
Jun-1991,Convention/conference,10450
Jul-1991,Convention/conference,3620
Aug-1991,Convention/conference,2460
Sep-1991,Convention/conference,3640
Oct-1991,Convention/conference,3290
Nov-1991,Convention/conference,4620
Dec-1991,Convention/conference,2290
Jan-1992,Convention/conference,1410
Feb-1992,Convention/conference,2360
Mar-1992,Convention/conference,3360
Apr-1992,Convention/conference,2520
May-1992,Convention/conference,2900
Jun-1992,Convention/conference,1530
Jul-1992,Convention/conference,3300
Aug-1992,Convention/conference,2810
Sep-1992,Convention/conference,3840
Oct-1992,Convention/conference,3250
Nov-1992,Convention/conference,3380
Dec-1992,Convention/conference,1670
Jan-1993,Convention/conference,1640
Feb-1993,Convention/conference,3480
Mar-1993,Convention/conference,3160
Apr-1993,Convention/conference,4360
May-1993,Convention/conference,11050
Jun-1993,Convention/conference,2450
Jul-1993,Convention/conference,4330
Aug-1993,Convention/conference,2040
Sep-1993,Convention/conference,7000
Oct-1993,Convention/conference,4030
Nov-1993,Convention/conference,4420
Dec-1993,Convention/conference,2240
Jan-1994,Convention/conference,1620
Feb-1994,Convention/conference,3950
Mar-1994,Convention/conference,5890
Apr-1994,Convention/conference,5230
May-1994,Convention/conference,2860
Jun-1994,Convention/conference,3070
Jul-1994,Convention/conference,5000
Aug-1994,Convention/conference,3360
Sep-1994,Convention/conference,10960
Oct-1994,Convention/conference,10820
Nov-1994,Convention/conference,8750
Dec-1994,Convention/conference,3420
Jan-1995,Convention/conference,3070
Feb-1995,Convention/conference,8600
Mar-1995,Convention/conference,7560
Apr-1995,Convention/conference,5580
May-1995,Convention/conference,6780
Jun-1995,Convention/conference,6590
Jul-1995,Convention/conference,9530
Aug-1995,Convention/conference,7870
Sep-1995,Convention/conference,9450
Oct-1995,Convention/conference,12150
Nov-1995,Convention/conference,9460
Dec-1995,Convention/conference,3070
Jan-1996,Convention/conference,4290
Feb-1996,Convention/conference,8080
Mar-1996,Convention/conference,9210
Apr-1996,Convention/conference,13040
May-1996,Convention/conference,7800
Jun-1996,Convention/conference,9250
Jul-1996,Convention/conference,10340
Aug-1996,Convention/conference,9130
Sep-1996,Convention/conference,12330
Oct-1996,Convention/conference,12480
Nov-1996,Convention/conference,12830
Dec-1996,Convention/conference,4110
Jan-1997,Convention/conference,5450
Feb-1997,Convention/conference,6290
Mar-1997,Convention/conference,10300
Apr-1997,Convention/conference,8720
May-1997,Convention/conference,9580
Jun-1997,Convention/conference,13790
Jul-1997,Convention/conference,11590
Aug-1997,Convention/conference,7950
Sep-1997,Convention/conference,11220
Oct-1997,Convention/conference,11720
