Month,Duration,VisitorCount
2015-01-01,Under 1 week,142810
2015-02-01,Under 1 week,192820
2015-03-01,Under 1 week,208360
2015-04-01,Under 1 week,176170
2015-05-01,Under 1 week,182520
2015-06-01,Under 1 week,154100
2015-07-01,Under 1 week,163220
2015-08-01,Under 1 week,182560
2015-09-01,Under 1 week,170600
2015-10-01,Under 1 week,199690
2015-11-01,Under 1 week,224070
2015-12-01,Under 1 week,195350
2016-01-01,Under 1 week,158070
2016-02-01,Under 1 week,218110
2016-03-01,Under 1 week,229710
2016-04-01,Under 1 week,199090
2016-05-01,Under 1 week,195080
2016-06-01,Under 1 week,169060
2016-07-01,Under 1 week,173390
2016-08-01,Under 1 week,197580
2016-09-01,Under 1 week,192440
2016-10-01,Under 1 week,213430
2016-11-01,Under 1 week,240900
2016-12-01,Under 1 week,204550
2017-01-01,Under 1 week,178560
2017-02-01,Under 1 week,213520
2017-03-01,Under 1 week,250660
2017-04-01,Under 1 week,205580
2017-05-01,Under 1 week,199700
2017-06-01,Under 1 week,186630
2017-07-01,Under 1 week,175210
2017-08-01,Under 1 week,217050
2017-09-01,Under 1 week,194900
2017-10-01,Under 1 week,225030
2017-11-01,Under 1 week,248430
2017-12-01,Under 1 week,197550
2018-01-01,Under 1 week,165320
2018-02-01,Under 1 week,221620
2018-03-01,Under 1 week,253710
2018-04-01,Under 1 week,196060
2018-05-01,Under 1 week,207600
2018-06-01,Under 1 week,188770
2018-07-01,Under 1 week,173870
2018-08-01,Under 1 week,224220
2018-09-01,Under 1 week,192420
2018-10-01,Under 1 week,227730
2018-11-01,Under 1 week,249840
2018-12-01,Under 1 week,202470
2019-01-01,Under 1 week,169170
2019-02-01,Under 1 week,229510
2019-03-01,Under 1 week,256490
2019-04-01,Under 1 week,193700
2019-05-01,Under 1 week,215050
2019-06-01,Under 1 week,185750
2019-07-01,Under 1 week,174950
2019-08-01,Under 1 week,230550
2019-09-01,Under 1 week,196470
2019-10-01,Under 1 week,237620
2019-11-01,Under 1 week,254090
2019-12-01,Under 1 week,218240
2020-01-01,Under 1 week,176220
2020-02-01,Under 1 week,184670
2020-03-01,Under 1 week,79230
2020-04-01,Under 1 week,840
2020-05-01,Under 1 week,1570
2020-06-01,Under 1 week,2240
2020-07-01,Under 1 week,880
2020-08-01,Under 1 week,690
2020-09-01,Under 1 week,500
2020-10-01,Under 1 week,660
2020-11-01,Under 1 week,650
2020-12-01,Under 1 week,450
2021-01-01,Under 1 week,540
2021-02-01,Under 1 week,460
2021-03-01,Under 1 week,500
2021-04-01,Under 1 week,5640
2021-05-01,Under 1 week,10870
2021-06-01,Under 1 week,9430
2021-07-01,Under 1 week,2590
2021-08-01,Under 1 week,1020
2021-09-01,Under 1 week,290
2021-10-01,Under 1 week,330
2021-11-01,Under 1 week,1210
2021-12-01,Under 1 week,1900
2022-01-01,Under 1 week,2290
2022-02-01,Under 1 week,3860
2022-03-01,Under 1 week,15860
2022-04-01,Under 1 week,25310
2022-05-01,Under 1 week,41250
2022-06-01,Under 1 week,46850
2022-07-01,Under 1 week,55410
2022-08-01,Under 1 week,73220
2022-09-01,Under 1 week,71590
2022-10-01,Under 1 week,90740
2022-11-01,Under 1 week,113630
2022-12-01,Under 1 week,84260
2023-01-01,Under 1 week,83900
2023-02-01,Under 1 week,132020
2023-03-01,Under 1 week,148180
2023-04-01,Under 1 week,117150
2023-05-01,Under 1 week,131140
2023-06-01,Under 1 week,122310
2023-07-01,Under 1 week,133100
2023-08-01,Under 1 week,156690
2023-09-01,Under 1 week,136760
2023-10-01,Under 1 week,157410
2023-11-01,Under 1 week,176580
2023-12-01,Under 1 week,140230
2024-01-01,Under 1 week,125820
2024-02-01,Under 1 week,204980
2024-03-01,Under 1 week,197670
2024-04-01,Under 1 week,151920
2024-05-01,Under 1 week,169510
2024-06-01,Under 1 week,141390
2024-07-01,Under 1 week,138940
2024-08-01,Under 1 week,175730
2024-09-01,Under 1 week,156640
2024-10-01,Under 1 week,189760
2024-11-01,Under 1 week,186880
2024-12-01,Under 1 week,156530
2025-01-01,Under 1 week,147830
2025-02-01,Under 1 week,181020
2025-03-01,Under 1 week,191530
2025-04-01,Under 1 week,155970
2025-05-01,Under 1 week,168950
2025-06-01,Under 1 week,150610
2025-07-01,Under 1 week,154420
2025-08-01,Under 1 week,194130
2015-01-01,1 and under 2 weeks,119860
2015-02-01,1 and under 2 weeks,204340
2015-03-01,1 and under 2 weeks,176590
2015-04-01,1 and under 2 weeks,161100
2015-05-01,1 and under 2 weeks,134490
2015-06-01,1 and under 2 weeks,130590
2015-07-01,1 and under 2 weeks,166120
2015-08-01,1 and under 2 weeks,166420
2015-09-01,1 and under 2 weeks,167870
2015-10-01,1 and under 2 weeks,171590
2015-11-01,1 and under 2 weeks,188650
2015-12-01,1 and under 2 weeks,227290
2016-01-01,1 and under 2 weeks,144550
2016-02-01,1 and under 2 weeks,220670
2016-03-01,1 and under 2 weeks,217050
2016-04-01,1 and under 2 weeks,183660
2016-05-01,1 and under 2 weeks,160540
2016-06-01,1 and under 2 weeks,164560
2016-07-01,1 and under 2 weeks,198750
2016-08-01,1 and under 2 weeks,189540
2016-09-01,1 and under 2 weeks,199200
2016-10-01,1 and under 2 weeks,193970
2016-11-01,1 and under 2 weeks,201660
2016-12-01,1 and under 2 weeks,257070
2017-01-01,1 and under 2 weeks,197500
2017-02-01,1 and under 2 weeks,181920
2017-03-01,1 and under 2 weeks,212440
2017-04-01,1 and under 2 weeks,220260
2017-05-01,1 and under 2 weeks,174420
2017-06-01,1 and under 2 weeks,175140
2017-07-01,1 and under 2 weeks,203130
2017-08-01,1 and under 2 weeks,225330
2017-09-01,1 and under 2 weeks,201220
2017-10-01,1 and under 2 weeks,224790
2017-11-01,1 and under 2 weeks,228240
2017-12-01,1 and under 2 weeks,272660
2018-01-01,1 and under 2 weeks,172690
2018-02-01,1 and under 2 weeks,267040
2018-03-01,1 and under 2 weeks,244570
2018-04-01,1 and under 2 weeks,208390
2018-05-01,1 and under 2 weeks,181680
2018-06-01,1 and under 2 weeks,195740
2018-07-01,1 and under 2 weeks,214530
2018-08-01,1 and under 2 weeks,245380
2018-09-01,1 and under 2 weeks,214640
2018-10-01,1 and under 2 weeks,224960
2018-11-01,1 and under 2 weeks,242930
2018-12-01,1 and under 2 weeks,291190
2019-01-01,1 and under 2 weeks,185060
2019-02-01,1 and under 2 weeks,263030
2019-03-01,1 and under 2 weeks,243670
2019-04-01,1 and under 2 weeks,219840
2019-05-01,1 and under 2 weeks,209950
2019-06-01,1 and under 2 weeks,205770
2019-07-01,1 and under 2 weeks,226210
2019-08-01,1 and under 2 weeks,267540
2019-09-01,1 and under 2 weeks,214670
2019-10-01,1 and under 2 weeks,230660
2019-11-01,1 and under 2 weeks,243980
2019-12-01,1 and under 2 weeks,297290
2020-01-01,1 and under 2 weeks,211830
2020-02-01,1 and under 2 weeks,149720
2020-03-01,1 and under 2 weeks,70230
2020-04-01,1 and under 2 weeks,40
2020-05-01,1 and under 2 weeks,50
