Month,State,Arrivals
Jan-91,NSW,173740.0
Feb-91,NSW,143320.0
Mar-91,NSW,174480.0
Apr-91,NSW,151460.0
May-91,NSW,150090.0
Jun-91,NSW,161960.0
Jul-91,NSW,156130.0
Aug-91,NSW,172430.0
Sep-91,NSW,176020.0
Oct-91,NSW,169070.0
Nov-91,NSW,176930.0
Dec-91,NSW,201390.0
Jan-92,NSW,181870.0
Feb-92,NSW,168530.0
Mar-92,NSW,186350.0
Apr-92,NSW,189680.0
May-92,NSW,170440.0
Jun-92,NSW,159880.0
Jul-92,NSW,182980.0
Aug-92,NSW,169480.0
Sep-92,NSW,181800.0
Oct-92,NSW,165490.0
Nov-92,NSW,187890.0
Dec-92,NSW,223640.0
Jan-93,NSW,207300.0
Feb-93,NSW,176810.0
Mar-93,NSW,194960.0
Apr-93,NSW,199840.0
May-93,NSW,186380.0
Jun-93,NSW,180720.0
Jul-93,NSW,173480.0
Aug-93,NSW,195600.0
Sep-93,NSW,193760.0
Oct-93,NSW,197760.0
Nov-93,NSW,194700.0
Dec-93,NSW,227950.0
Jan-94,NSW,217560.0
Feb-94,NSW,207760.0
Mar-94,NSW,232420.0
Apr-94,NSW,213220.0
May-94,NSW,198120.0
Jun-94,NSW,199140.0
Jul-94,NSW,197020.0
Aug-94,NSW,210800.0
Sep-94,NSW,207350.0
Oct-94,NSW,200400.0
Nov-94,NSW,214100.0
Dec-94,NSW,246760.0
Jan-95,NSW,243510.0
Feb-95,NSW,212540.0
Mar-95,NSW,237300.0
Apr-95,NSW,233380.0
May-95,NSW,211440.0
Jun-95,NSW,202000.0
Jul-95,NSW,225670.0
Aug-95,NSW,231610.0
Sep-95,NSW,221990.0
Oct-95,NSW,209340.0
Nov-95,NSW,235790.0
Dec-95,NSW,275500.0
Jan-96,NSW,263460.0
Feb-96,NSW,239820.0
Mar-96,NSW,281460.0
Apr-96,NSW,250220.0
May-96,NSW,219070.0
Jun-96,NSW,236630.0
Jul-96,NSW,234490.0
Aug-96,NSW,248540.0
Sep-96,NSW,234140.0
Oct-96,NSW,234060.0
Nov-96,NSW,249690.0
Dec-96,NSW,295460.0
Jan-97,NSW,283910.0
Feb-97,NSW,247970.0
Mar-97,NSW,287050.0
Apr-97,NSW,247110.0
May-97,NSW,241610.0
Jun-97,NSW,251180.0
Jul-97,NSW,245460.0
Aug-97,NSW,255240.0
Sep-97,NSW,238850.0
Oct-97,NSW,244580.0
Nov-97,NSW,259750.0
Dec-97,NSW,286370.0
Jan-98,NSW,281880.0
Feb-98,NSW,241860.0
Mar-98,NSW,265710.0
Apr-98,NSW,271100.0
May-98,NSW,245730.0
Jun-98,NSW,232300.0
Jul-98,NSW,251650.0
Aug-98,NSW,258200.0
Sep-98,NSW,241270.0
Oct-98,NSW,239900.0
Nov-98,NSW,254660.0
Dec-98,NSW,292720.0
Jan-99,NSW,301090.0
Feb-99,NSW,249740.0
Mar-99,NSW,287810.0
Apr-99,NSW,269290.0
May-99,NSW,243360.0
Jun-99,NSW,231610.0
Jul-99,NSW,254570.0
Aug-99,NSW,275410.0
Sep-99,NSW,268590.0
Oct-99,NSW,255900.0
Nov-99,NSW,275440.0
Dec-99,NSW,294060.0
Jan-00,NSW,330130.0
Feb-00,NSW,277960.0
Mar-00,NSW,303860.0
Apr-00,NSW,316030.0
May-00,NSW,276150.0
Jun-00,NSW,262360.0
Jul-00,NSW,283060.0
Aug-00,NSW,290460.0
Sep-00,NSW,320850.0
Oct-00,NSW,352920.0
Nov-00,NSW,330040.0
Dec-00,NSW,380460.0
Jan-01,NSW,352620.0
