Month,Country,Value
Jan-1991,New Zealand,50370.0
Feb-1991,New Zealand,35980.0
Mar-1991,New Zealand,46740.0
Apr-1991,New Zealand,43650.0
May-1991,New Zealand,50420.0
Jun-1991,New Zealand,45150.0
Jul-1991,New Zealand,56440.0
Aug-1991,New Zealand,60130.0
Sep-1991,New Zealand,55480.0
Oct-1991,New Zealand,54990.0
Nov-1991,New Zealand,49680.0
Dec-1991,New Zealand,41960.0
Jan-1992,New Zealand,44190.0
Feb-1992,New Zealand,34060.0
Mar-1992,New Zealand,40960.0
Apr-1992,New Zealand,43220.0
May-1992,New Zealand,46800.0
Jun-1992,New Zealand,41240.0
Jul-1992,New Zealand,51730.0
Aug-1992,New Zealand,50390.0
Sep-1992,New Zealand,47510.0
Oct-1992,New Zealand,55860.0
Nov-1992,New Zealand,50430.0
Dec-1992,New Zealand,49280.0
Jan-1993,New Zealand,48650.0
Feb-1993,New Zealand,37500.0
Mar-1993,New Zealand,45380.0
Apr-1993,New Zealand,49450.0
May-1993,New Zealand,51990.0
Jun-1993,New Zealand,45500.0
Jul-1993,New Zealand,54690.0
Aug-1993,New Zealand,59070.0
Sep-1993,New Zealand,56740.0
Oct-1993,New Zealand,56980.0
Nov-1993,New Zealand,46040.0
Dec-1993,New Zealand,49640.0
Jan-1994,New Zealand,50650.0
Feb-1994,New Zealand,34320.0
Mar-1994,New Zealand,46840.0
Apr-1994,New Zealand,47180.0
May-1994,New Zealand,44770.0
Jun-1994,New Zealand,48650.0
Jul-1994,New Zealand,55220.0
Aug-1994,New Zealand,60710.0
Sep-1994,New Zealand,55520.0
Oct-1994,New Zealand,53660.0
Nov-1994,New Zealand,44590.0
Dec-1994,New Zealand,51690.0
Jan-1995,New Zealand,55000.0
Feb-1995,New Zealand,37370.0
Mar-1995,New Zealand,46890.0
Apr-1995,New Zealand,55610.0
May-1995,New Zealand,47740.0
Jun-1995,New Zealand,54200.0
Jul-1995,New Zealand,64340.0
Aug-1995,New Zealand,62030.0
Sep-1995,New Zealand,62560.0
Oct-1995,New Zealand,60710.0
Nov-1995,New Zealand,52150.0
Dec-1995,New Zealand,56080.0
Jan-1996,New Zealand,64130.0
Feb-1996,New Zealand,47260.0
Mar-1996,New Zealand,64920.0
Apr-1996,New Zealand,68780.0
May-1996,New Zealand,52570.0
Jun-1996,New Zealand,69390.0
Jul-1996,New Zealand,77430.0
Aug-1996,New Zealand,69720.0
Sep-1996,New Zealand,79040.0
Oct-1996,New Zealand,74150.0
Nov-1996,New Zealand,62590.0
Dec-1996,New Zealand,57060.0
Jan-1997,New Zealand,70210.0
Feb-1997,New Zealand,51430.0
Mar-1997,New Zealand,65820.0
Apr-1997,New Zealand,66470.0
May-1997,New Zealand,54860.0
Jun-1997,New Zealand,63710.0
Jul-1997,New Zealand,86680.0
Aug-1997,New Zealand,65750.0
Sep-1997,New Zealand,73280.0
Oct-1997,New Zealand,76020.0
Nov-1997,New Zealand,61110.0
Dec-1997,New Zealand,66330.0
Jan-1998,New Zealand,67230.0
Feb-1998,New Zealand,50320.0
Mar-1998,New Zealand,60610.0
Apr-1998,New Zealand,73660.0
May-1998,New Zealand,66220.0
Jun-1998,New Zealand,76130.0
Jul-1998,New Zealand,86930.0
Aug-1998,New Zealand,75390.0
Sep-1998,New Zealand,80180.0
Oct-1998,New Zealand,83450.0
Nov-1998,New Zealand,64920.0
Dec-1998,New Zealand,69760.0
Jan-1999,New Zealand,74660.0
Feb-1999,New Zealand,53270.0
Mar-1999,New Zealand,67880.0
Apr-1999,New Zealand,73380.0
May-1999,New Zealand,63060.0
