Month,VisitorArrivals
2010-01-01,2011100.0
2010-02-01,1797850.0
2010-03-01,1694720.0
2010-04-01,1570900.0
2010-05-01,1371560.0
2010-06-01,1460500.0
2010-07-01,1949040.0
2010-08-01,1644850.0
2010-09-01,1728280.0
2010-10-01,1920260.0
2010-11-01,1712840.0
2010-12-01,1927190.0
2011-01-01,2151070.0
2011-02-01,1885410.0
2011-03-01,1677620.0
2011-04-01,1667460.0
2011-05-01,1536020.0
2011-06-01,1483240.0
2011-07-01,2027620.0
2011-08-01,1736640.0
2011-09-01,1731990.0
2011-10-01,2026840.0
2011-11-01,1793040.0
2011-12-01,1978520.0
2012-01-01,2283420.0
2012-02-01,1975320.0
2012-03-01,1819810.0
2012-04-01,1798610.0
2012-05-01,1522220.0
2012-06-01,1638210.0
2012-07-01,2088930.0
2012-08-01,1830080.0
2012-09-01,1861880.0
2012-10-01,2122860.0
2012-11-01,1902740.0
2012-12-01,2128860.0
2013-01-01,2326250.0
2013-02-01,2046340.0
2013-03-01,1961420.0
2013-04-01,1839310.0
2013-05-01,1638060.0
2013-06-01,1737010.0
2013-07-01,2208550.0
2013-08-01,1972720.0
2013-09-01,1961910.0
2013-10-01,2232240.0
2013-11-01,1987600.0
2013-12-01,2293980.0
2014-01-01,2575430.0
2014-02-01,2165610.0
2014-03-01,2019010.0
2014-04-01,2002900.0
2014-05-01,1789990.0
2014-06-01,1764450.0
2014-07-01,2346640.0
2014-08-01,2047420.0
2014-09-01,2041990.0
2014-10-01,2313150.0
2014-11-01,2080360.0
2014-12-01,2347090.0
2015-01-01,2606450.0
2015-02-01,2307610.0
2015-03-01,2214820.0
2015-04-01,2066510.0
2015-05-01,1831150.0
2015-06-01,1849630.0
2015-07-01,2443480.0
2015-08-01,2140960.0
2015-09-01,2168170.0
2015-10-01,2434170.0
2015-11-01,2225260.0
2015-12-01,2564350.0
2016-01-01,2811680.0
2016-02-01,2548960.0
2016-03-01,2375700.0
2016-04-01,2239530.0
2016-05-01,1981280.0
2016-06-01,2011720.0
2016-07-01,2732170.0
2016-08-01,2294780.0
2016-09-01,2386690.0
2016-10-01,2650620.0
2016-11-01,2377000.0
2016-12-01,2785880.0
2017-01-01,3083260.0
2017-02-01,2640390.0
2017-03-01,2441030.0
2017-04-01,2525680.0
2017-05-01,2126850.0
2017-06-01,2167240.0
2017-07-01,2851830.0
2017-08-01,2477090.0
2017-09-01,2487310.0
2017-10-01,2805200.0
2017-11-01,2522860.0
2017-12-01,2864070.0
2018-01-01,3153130.0
2018-02-01,2851650.0
2018-03-01,2714640.0
2018-04-01,2537900.0
2018-05-01,2244990.0
2018-06-01,2312280.0
2018-07-01,3001110.0
2018-08-01,2626480.0
2018-09-01,2583910.0
2018-10-01,2914510.0
2018-11-01,2624790.0
2018-12-01,3015500.0
2019-01-01,3282580.0
2019-02-01,2948530.0
2019-03-01,2666570.0
2019-04-01,2552540.0
2019-05-01,2425600.0
2019-06-01,2384370.0
2019-07-01,3008750.0
2019-08-01,2741970.0
2019-09-01,2618880.0
2019-10-01,2944960.0
2019-11-01,2697930.0
2019-12-01,3069170.0
2020-01-01,3353450.0
2020-02-01,2472510.0
2020-03-01,1367980.0
2020-04-01,27630.0
2020-05-01,27310.0
2020-06-01,36380.0
2020-07-01,24170.0
2020-08-01,21290.0
2020-09-01,23820.0
2020-10-01,35600.0
2020-11-01,43420.0
2020-12-01,51760.0
2021-01-01,48260.0
2021-02-01,39210.0
2021-03-01,49900.0
2021-04-01,88420.0
2021-05-01,184760.0
2021-06-01,164580.0
2021-07-01,115940.0
2021-08-01,42710.0
2021-09-01,29380.0
2021-10-01,26260.0
2021-11-01,108900.0
2021-12-01,309570.0
2022-01-01,391010.0
2022-02-01,430010.0
2022-03-01,604730.0
2022-04-01,894550.0
2022-05-01,994780.0
2022-06-01,1108940.0
2022-07-01,1557350.0
2022-08-01,1517680.0
2022-09-01,1577290.0
2022-10-01,1776840.0
2022-11-01,1829520.0
2022-12-01,2000530.0
2023-01-01,2279070.0
2023-02-01,2171890.0
2023-03-01,2113020.0
2023-04-01,2058800.0
2023-05-01,1948920.0
2023-06-01,2034600.0
2023-07-01,2546940.0
2023-08-01,2313300.0
2023-09-01,2360730.0
2023-10-01,2544100.0
2023-11-01,2397560.0
2023-12-01,2716160.0
2024-01-01,3069210.0
2024-02-01,2904130.0
2024-03-01,2551810.0
2024-04-01,2434670.0
2024-05-01,2217780.0
2024-06-01,2287420.0
2024-07-01,2823330.0
2024-08-01,2500280.0
2024-09-01,2561750.0
2024-10-01,2824510.0
2024-11-01,2590960.0
2024-12-01,2938510.0
2025-01-01,3452160.0
2025-02-01,2964680.0
2025-03-01,2645620.0
2025-04-01,2619050.0
2025-05-01,2478340.0
2025-06-01,2432900.0
2025-07-01,3054670.0
2025-08-01,2761740.0
